Age,Year,Incidence,Sex
75,1987,0.0000268,m
76,1987,0.000022,m
77,1987,0.0000182,m
78,1987,0.00001498,m
79,1987,0.00001228,m
80,1987,0.00001004,m
81,1987,0.0000082,m
82,1987,0.00000672,m
83,1987,0.00000552,m
84,1987,0.0000046,m
85,1987,0.00000398,m
86,1987,0.00000366,m
87,1987,0.00000368,m
88,1987,0.000004,m
89,1987,0.00000466,m
90,1987,0.00000648,m
10,1988,0,m
11,1988,0.00000004,m
12,1988,0.0000008,m
13,1988,0.00000764,m
14,1988,0.0000448,m
15,1988,0.000176,m
16,1988,0.0004,m
17,1988,0.001,m
18,1988,0.0016,m
19,1988,0.0022,m
20,1988,0.0026,m
21,1988,0.003,m
22,1988,0.0036,m
23,1988,0.0042,m
24,1988,0.0048,m
25,1988,0.0056,m
26,1988,0.0062,m
27,1988,0.007,m
28,1988,0.0076,m
29,1988,0.0082,m
30,1988,0.0086,m
31,1988,0.0092,m
32,1988,0.0094,m
33,1988,0.0096,m
34,1988,0.0096,m
35,1988,0.0096,m
36,1988,0.0094,m
37,1988,0.009,m
38,1988,0.0088,m
39,1988,0.0084,m
40,1988,0.0078,m
41,1988,0.0074,m
42,1988,0.0068,m
43,1988,0.0064,m
44,1988,0.0058,m
45,1988,0.0052,m
46,1988,0.0048,m
47,1988,0.0044,m
48,1988,0.0038,m
49,1988,0.0034,m
50,1988,0.003,m
51,1988,0.0026,m
52,1988,0.0024,m
53,1988,0.002,m
54,1988,0.0018,m
55,1988,0.0016,m
56,1988,0.0014,m
57,1988,0.0012,m
58,1988,0.001,m
59,1988,0.0008,m
60,1988,0.0008,m
61,1988,0.0006,m
62,1988,0.0006,m
63,1988,0.0004,m
64,1988,0.000374,m
65,1988,0.000316,m
66,1988,0.000264,m
67,1988,0.000222,m
68,1988,0.0001858,m
69,1988,0.0001554,m
70,1988,0.0001298,m
71,1988,0.0001082,m
72,1988,0.00009,m
73,1988,0.000075,m
74,1988,0.000062,m
75,1988,0.0000512,m
76,1988,0.000042,m
77,1988,0.0000348,m
78,1988,0.0000288,m
79,1988,0.0000238,m
80,1988,0.00001968,m
81,1988,0.0000162,m
82,1988,0.00001334,m
83,1988,0.00001106,m
84,1988,0.00000922,m
85,1988,0.00000798,m
86,1988,0.00000732,m
87,1988,0.00000726,m
88,1988,0.0000077,m
89,1988,0.00000846,m
90,1988,0.0000115,m
10,1989,0,m
11,1989,0.00000008,m
12,1989,0.00000156,m
13,1989,0.0000151,m
14,1989,0.0000898,m
15,1989,0.0004,m
16,1989,0.001,m
17,1989,0.0018,m
18,1989,0.0034,m
19,1989,0.0042,m
20,1989,0.005,m
21,1989,0.0058,m
22,1989,0.0066,m
23,1989,0.0074,m
24,1989,0.0082,m
25,1989,0.0092,m
26,1989,0.0102,m
27,1989,0.0112,m
28,1989,0.0122,m
29,1989,0.013,m
30,1989,0.0138,m
31,1989,0.0142,m
32,1989,0.0146,m
33,1989,0.0148,m
34,1989,0.0148,m
35,1989,0.0146,m
36,1989,0.0144,m
37,1989,0.0138,m
38,1989,0.0134,m
39,1989,0.0126,m
40,1989,0.012,m
41,1989,0.0112,m
42,1989,0.0104,m
43,1989,0.0096,m
44,1989,0.0088,m
45,1989,0.008,m
46,1989,0.0072,m
47,1989,0.0066,m
48,1989,0.0058,m
49,1989,0.0052,m
50,1989,0.0046,m
51,1989,0.004,m
52,1989,0.0036,m
53,1989,0.0032,m
54,1989,0.0028,m
55,1989,0.0024,m
56,1989,0.002,m
57,1989,0.0018,m
58,1989,0.0016,m
59,1989,0.0012,m
60,1989,0.0012,m
61,1989,0.001,m
62,1989,0.0008,m
63,1989,0.0006,m
64,1989,0.0006,m
65,1989,0.0004,m
66,1989,0.0004,m
67,1989,0.0004,m
68,1989,0.000286,m
69,1989,0.000238,m
70,1989,0.0002,m
71,1989,0.0001676,m
72,1989,0.0001402,m
73,1989,0.000117,m
74,1989,0.0000978,m
75,1989,0.0000814,m
76,1989,0.0000674,m
77,1989,0.0000554,m
78,1989,0.0000464,m
79,1989,0.000039,m
80,1989,0.0000326,m
81,1989,0.000027,m
82,1989,0.0000226,m
83,1989,0.00001886,m
84,1989,0.000016,m
85,1989,0.00001366,m
86,1989,0.0000124,m
87,1989,0.00001204,m
88,1989,0.0000124,m
89,1989,0.00001314,m
90,1989,0.0000164,m
10,1990,0,m
11,1990,0.00000012,m
12,1990,0.00000276,m
13,1990,0.000027,m
14,1990,0.000162,m
15,1990,0.0006,m
16,1990,0.0018,m
17,1990,0.0034,m
18,1990,0.0062,m
19,1990,0.0074,m
20,1990,0.0086,m
21,1990,0.0096,m
22,1990,0.0106,m
23,1990,0.0116,m
24,1990,0.0128,m
25,1990,0.0138,m
26,1990,0.015,m
27,1990,0.0162,m
28,1990,0.0172,m
29,1990,0.0182,m
30,1990,0.0188,m
31,1990,0.0194,m
32,1990,0.0198,m
33,1990,0.02,m
34,1990,0.0198,m
35,1990,0.0196,m
36,1990,0.019,m
37,1990,0.0184,m
38,1990,0.0176,m
39,1990,0.0168,m
40,1990,0.0158,m
41,1990,0.0148,m
42,1990,0.0138,m
43,1990,0.0128,m
44,1990,0.0118,m
45,1990,0.0106,m
46,1990,0.0096,m
47,1990,0.0088,m
48,1990,0.0078,m
49,1990,0.007,m
50,1990,0.0062,m
51,1990,0.0054,m
52,1990,0.0048,m
53,1990,0.0042,m
54,1990,0.0036,m
55,1990,0.0032,m
56,1990,0.0028,m
57,1990,0.0024,m
58,1990,0.002,m
59,1990,0.0018,m
60,1990,0.0014,m
61,1990,0.0012,m
62,1990,0.001,m
63,1990,0.001,m
64,1990,0.0008,m
65,1990,0.0006,m
66,1990,0.0006,m
67,1990,0.0004,m
68,1990,0.0004,m
69,1990,0.0004,m
70,1990,0.000274,m
71,1990,0.00023,m
72,1990,0.000194,m
73,1990,0.0001634,m
74,1990,0.0001376,m
75,1990,0.0001162,m
76,1990,0.0000978,m
77,1990,0.0000816,m
78,1990,0.0000672,m
79,1990,0.0000576,m
80,1990,0.000049,m
81,1990,0.0000418,m
82,1990,0.0000354,m
83,1990,0.00003,m
84,1990,0.0000256,m
85,1990,0.0000224,m
86,1990,0.00001968,m
87,1990,0.00001862,m
88,1990,0.00001852,m
89,1990,0.00001894,m
