year,age,males,females
2020,0,5845800,5639216
2020,10,5085140,4912574
2020,20,5185536,5076535
2020,30,5251167,5156929
2020,40,3048625,3121337
2020,50,2371438,3019772
2020,60,1066909,1797625
2020,70,547216,1051091
2020,80,178948,446057
